Company,Year,MetricCode,Value,UnitRaw,MetricRaw,SourceSheet,Pillar
SUNGWOO,2024,EMPLOYEES_TOTAL,1399.0,Number,EMPLOYEE QTY,Page 8 - D,S
SUNGWOO,2024,ENERGY_TOTAL,54181.0,MWh,Energy_consumption(MWh) RESULT,Energy_consumption(MWh),E
SUNGWOO,2024,GHG_SCOPE1,2892.0,t CO2e,SCOPE 1,Page 7 - A,E
SUNGWOO,2024,GHG_SCOPE2,21085.0,t CO2e,SCOPE 2,Page 7 - A,E
SUNGWOO,2024,GHG_SCOPE3,12841.0,t CO2e,SCOPE 3,Page 7 - A,E
SUNGWOO,2024,GHG_TOTAL,23977.0,t CO2e,Derived: GHG_SCOPE1 + GHG_SCOPE2,Page 7 - A,E
SUNGWOO,2024,GHG_TOTAL_ALL,36818.0,t CO2e,TOTAL (as reported),Page 7 - A,E
SUNGWOO,2024,G_REPORTS_RECEIVED,10.0,Cases,Received grievances (grievance management),Page 12 - Received grievances,G
SUNGWOO,2024,G_WHISTLEBLOWING_REPORTS_RECEIVED,3.0,Cases,Whistleblowing reports (count),Page 13 - WHISTLEBLOWING (2024),G
SUNGWOO,2024,WASTE_HAZARDOUS,171.51,t,Dangerous waste production(t) RESULT,Dangerous waste production(t),E
SUNGWOO,2024,WASTE_RECYCLED,65027.0,t,Separated waste production(t) RESULT,Separated waste production(t),E
SUNGWOO,2024,WASTE_TOTAL,65561.0,t,General_waste_production(t) RESULT,General_waste_production(t),E
SUNGWOO,2024,WATER_TOTAL,34846.0,m3,Total_water_consumption(m3) RESULT,Total_water_consumption(m3),E
